Date,Store,Category,Amount,ExcludeWE,Description
2014-11-23,Coles,Daily Expenses,-3.4,NO,"Chips, water and twixt"
2014-11-24,The Good Guy,Home,-28.0,NO,Keyboard and mouse
2014-11-25,Others,Home,-3.5,NO,AuPost juan's contract
2014-11-25,Avanset,Home,-13.0,NO,Avanset one month ipad - till 25th of december
2014-11-25,MyKi,Transport,-10.0,NO,Myki gatito keyboard
2014-11-25,Lebara,Utilities,-30.0,YES,Mobile November - December
2014-11-26,Victoria Market,Daily Expenses,-14.0,NO,"Greek chicken, market night"
2014-11-26,Zara,Gift,-26.0,YES,Gatito's hat )))
2014-11-27,Others,Home,-35.0,YES,Translation of the driving license
2014-11-27,Amaysim,Utilities,-19.9,YES,Mobile gatito November - December
2014-11-29,MyKi,Transport,-10.0,NO,Myki church
2014-11-29,Coles,Daily Expenses,-24.48,NO,"Chicken, christmas decoration, juice, yogourt, wraps, carrots"
2014-11-30,IKEA,Home,-140.0,YES,Chairs
2014-11-30,Church,Daily Expenses,-7.0,NO,Church sunday after job
2014-12-01,Dingnan Gift Home,Home,-2.0,NO,Things for the chair
2014-12-01,Woolworths,Daily Expenses,-5.66,NO,Chicken thighs
2014-12-01,VicRoads,Transport,-37.7,YES,Law knowledge exam
2014-12-01,,Interest,57.0,,Interest for November
2014-12-02,Coles,Daily Expenses,-5.0,NO,Prawns
2014-12-02,Coles,Daily Expenses,-7.3,NO,Avocados and eggs
2014-12-03,Coles,Daily Expenses,-28.95,NO,"Girl pads, cheese, juice, pringles, meat and fish"
2014-12-04,Origin,Utilities,-58.77,YES,Gas October - November
2014-12-04,Others,Pleasure,-5.5,NO,Grilld fries gatito
2014-12-04,MyKi,Transport,-128.2,YES,Myki Nastya December
2014-12-04,VicRoads,Transport,-40.0,YES,Driving lesson with George
2014-12-04,VicRoads,Transport,-57.7,YES,Car practical driving test
2014-12-04,VicRoads,Transport,-33.7,YES,Hazard perception test
2014-12-05,My Chemist,Home,-13.0,NO,Cambodia Garcinia
2014-12-05,Love Real Estate,Rent,-1477.0,YES,Rent December
2014-12-06,Victoria Market,Daily Expenses,-15.0,NO,"Doughnuts, leeks, mushrooms, capsicum, tomatoes, coreander, chili"
2014-12-06,Coles,Daily Expenses,-12.62,NO,"Chicken, yoghourt, packet"
2014-12-06,IKEA,Home,-1029.57,YES,"bed, night tables, table, chairs x 3, cushins x 2, base, candles, chair covers,  delivery"
2014-12-07,Church,Daily Expenses,-4.5,NO,Church
2014-12-07,MyKi,Transport,-10.0,NO,Myki law knowledge exam
2014-12-07,The Good Guy,Gift,-84.91,YES,Gifts Nastya Christmas
2014-12-07,Kmart,Home,-17.0,YES,Christmas decoration
2014-12-07,Others,Home,-10.0,NO,Christmas decoration
2014-12-07,Others,Gift,-10.0,NO,Belt
2014-12-07,Others,Alcohol,-20.0,NO,Beers
2014-12-08,TPG,Utilities,-60.0,YES,Internet December - January
2014-12-08,MyKi,Transport,-10.0,NO,Myki beach volleyball 
2014-12-08,TPG,Utilities,-60.0,YES,Internet January - February
2014-12-08,Others,Pleasure,-98.31,YES,Restaurant invitation russian family
2014-12-09,Coles,Daily Expenses,-22.15,NO,"Pringles, sea food, christmas stuff"
2014-12-09,My Chemist,Health,-10.0,NO,Condoms 
2014-12-09,Dingnan Gift Home,Home,-5.5,NO,Deer horns and socks 
2014-12-09,Click Energy,Utilities,-47.82,YES,Electricity November - December
2014-12-10,Aldi,Daily Expenses,-6.9,NO,"Corn x 2, cheesecake and tuna x2"
2014-12-10,Others,Gift,-30.0,YES,Chain repairment - New girl over Collins
2014-12-10,Others,Gift,-70.0,YES,Screen for iphone 5
2014-12-10,Others,Gift,-48.0,YES,Battery iphone 4s - Happy Mobile
2014-12-11,Coles,Daily Expenses,-17.24,NO,"Ajax, cling wrap, baking paper, enchiladas, milk and wraps "
2014-12-13,,Salary,5205.0,,Salary Ana
2014-12-13,Coles,Daily Expenses,-22.61,NO,"Chicken, prawns and yogourt"
2014-12-13,Woolworths,Daily Expenses,-2.0,NO,Water
2014-12-13,Victoria Market,Gift,-25.0,YES,T-shirts for rusky family
2014-12-13,Others,Pleasure,-10.0,NO,Ice cream with atm transaction
2014-12-13,Others,Gift,-324.0,YES,DFO - Suit for GATITO!!!
2014-12-13,Others,Gift,-60.0,YES,DFO - Adidas !!!
2014-12-13,Officeworks,Education,-5.0,NO,Testamur for papa
2014-12-13,eBay,Gift,-3.0,NO,Case for gatito
2014-12-13,MyKi,Transport,-5.0,NO,Myki supper day
2014-12-13,Dan Murphy's,Alcohol,-15.0,YES,beers
2014-12-13,IGA,Alcohol,-15.0,NO,Beers
2014-12-13,Others,Gift,-29.5,YES,DFO - Second pair of shoes for malishka
2014-12-14,Coles,Daily Expenses,-9.83,NO,"Skewers, tisues, packet and mineral water"
2014-12-15,Woolworths,Daily Expenses,-5.5,NO,Pringles and Chocolate
2014-12-17,MyKi,Transport,-10.0,NO,Myki driving exam
2014-12-17,IGA,Daily Expenses,-6.0,NO,"Eggs, butter and pringles"
2014-12-17,Coles,Daily Expenses,-9.7,NO,"Flour, ginger house and bananas"
2014-12-18,Coles,Home,-7.25,NO,Bulbs x 2
2014-12-19,VicRoads,Transport,-150.0,YES,Driving rent car - Exam FAILURE
2014-12-19,VicRoads,Transport,-80.2,YES,Learner permit and new driving exam booking
2014-12-19,IGA,Alcohol,-16.98,NO,Beers and Pringles
2014-12-19,Dan Murphy's,Alcohol,-9.4,NO,Wine
2014-12-19,Coles,Daily Expenses,-8.24,NO,Chili and Coreander
2014-12-19,Woolworths,Daily Expenses,-4.75,NO,Chicken and doritos
2014-12-20,Woolworths,Daily Expenses,-13.2,NO,"Case for the gifts, bows and mug"
2014-12-20,Victoria Market,Daily Expenses,-17.0,NO,turkey legs
2014-12-20,Victoria Market,Gift,-94.0,YES,Russia gifts
2014-12-20,Victoria Market,Daily Expenses,-13.0,NO,"Meat, vegetables and fruits"
2014-12-20,Coles,Daily Expenses,-17.96,NO,"Chicken breast, juice, water, ricota cheese and milo"
2014-12-21,Church,Daily Expenses,-6.0,NO,Weekend before christmas
2014-12-21,Victoria Market,Gift,-12.0,YES,Katushita gift
2014-12-21,Aldi,Daily Expenses,-4.0,NO,Parmesan cheese
2014-12-21,Dan Murphy's,Alcohol,-52.84,NO,"Whiskey, Champagne and wine for Dima"
2014-12-22,Others,Gift,-12.0,NO,Phone screen protectors
2014-12-22,Woolworths,Daily Expenses,-11.0,NO,Ice cream and wrap paper
2014-12-22,Others,Daily Expenses,-8.5,NO,Brownies for test - QV's restaurant
2014-12-22,Coles,Daily Expenses,-9.5,NO,"Coke, chicken, oven bags and party"
2014-12-22,IGA,Alcohol,-10.0,NO,Beer
2014-12-23,Others,Daily Expenses,-12.0,NO,Brownies
2014-12-23,Big W,Daily Expenses,-2.0,NO,Bday sign
2014-12-23,Coles,Daily Expenses,-2.0,NO,Ricotta cheese
2014-12-24,Officeworks,Home,-4.5,NO,Printing tickets
2014-12-24,MyKi,Transport,-5.0,NO,Myki angel for RUSSIA BABY!!!
2014-12-24,Yarra Valley Water,Utilities,-150.39,YES,Water from 08/09/14 - 11/12/14
2014-12-24,Coles,Daily Expenses,-40.0,NO,Chocolates
2014-12-24,MyKi,Transport,-10.0,NO,Myki Gatito Russia Baby
2014-12-24,Church,Daily Expenses,-3.5,NO,Catholic church
2014-12-24,,Gift Cards,40.0,,Avanade - Raccooncito won!!!
2014-12-24,Coles,Daily Expenses,-3.5,NO,Doritos and sparkling water
2014-12-25,Officeworks,Gift,-50.0,YES,Gatito's Christmas
2014-12-26,Others,Daily Expenses,-17.75,NO,Food airport
2014-12-30,Others,Pleasure,-297.56,YES,Cash out russia baby
2015-01-01,,Interest,70.0,,Interest of both accounts
2015-01-04,Click Energy,Utilities,-56.15,YES,Electricity December - January
2015-01-05,Others,Gift,-153.54,YES,Snowboarding clothes and pants
2015-01-05,Love Real Estate,Rent,-1477.0,YES,Rent December - January
2015-01-09,Others,Daily Expenses,-17.65,NO,Meal at restaurants in the airports
2015-01-10,Others,Transport,-48.3,YES,Taxi gatito airport
2015-01-10,Amaysim,Utilities,-19.9,YES,Mobile gatito January - February
2015-01-10,Coles,Daily Expenses,-4.18,NO,Butter and coke
2015-01-10,Pizza Hut,Daily Expenses,-4.95,NO,Pizza for gatito 
2015-01-11,Coles,Daily Expenses,-5.64,NO,Chiclken and chips
2015-01-11,eBay,Clothing,-5.95,NO,Claps
2015-01-11,eBay,Clothing,-4.14,NO,Height insoles
2015-01-11,Pizza Hut,Daily Expenses,-4.95,NO,Pizza for gatito again
2015-01-12,Coles,Daily Expenses,-20.34,NO,"Capsicum, leek, tomatoes, cheese and wraps"
2015-01-12,Pizza Hut,Daily Expenses,-4.95,NO,Pizza gatito again again
2015-01-13,VicRoads,Transport,-100.0,YES,George driving exam / lesson
2015-01-13,Coles,Daily Expenses,-19.36,NO,"Yogourt, cereal, mushrooms and flowers"
2015-01-13,Pizza Hut,Daily Expenses,-4.95,NO,Pizza gatito x 4
2015-01-13,VicRoads,Transport,-74.0,YES,Full license 3 years
2015-01-14,McDonalds,Daily Expenses,-7.6,NO,Breakfast kotyonok
2015-01-14,MyKi,Transport,-138.6,YES,Myki princess January February
2015-01-14,IGA,Daily Expenses,-6.6,NO,"Milk, doritos and carrots"
2015-01-14,IGA,Alcohol,-14.0,NO,Beers arrival raccooncito
2015-01-14,Lebara,Utilities,-29.9,YES,Mobile angel January - February
2015-01-15,MyKi,Transport,-5.0,NO,Gatito went to Immi
2015-01-15,McDonalds,Daily Expenses,-4.4,NO,Fries and coke
2015-01-15,Others,Visa,-17.23,YES,American Waiver Visa
2015-01-15,Coles,Daily Expenses,-15.34,NO,"Fish, skewers, tissues, packets and eggs"
2015-01-15,,Salary,3896.0,,Salary Ana
2015-01-16,Woolworths,Daily Expenses,-4.76,NO,Chicken and bacon
2015-01-16,Dan Murphy's,Alcohol,-11.9,NO,Cyder
2015-01-16,My Chemist,Health,-27.0,YES,Lenses' liquid and hey fever
2015-01-17,Others,Pleasure,-630.5,YES,Surfing lesson x 2
2015-01-17,Dingnan Gift Home,Home,-12.0,YES,"Lighter, tissues and tv cable"
2015-01-17,Coles,Daily Expenses,-12.54,NO,"Packets, wraps and cheese"
2015-01-18,Coles,Daily Expenses,-11.62,NO,"Chips x 2, enchiladas and pumkin"
2015-01-18,Church,Daily Expenses,-5.5,NO,Sunday after vacations
2015-01-19,Coles,Daily Expenses,-31.0,NO,"Fish, deodorant, shaving fome, tuna, corn and oil"
2015-01-20,Others,Daily Expenses,-9.4,NO,Grilld fries gatito
2015-01-20,Others,Pleasure,-20.0,NO,Avanade - Volleyball
2015-01-20,MyKi,Transport,-10.0,NO,"Second payment myki, studpid system"
2015-01-20,MyKi,Transport,-10.0,NO,Myki Juan volleyball
2015-01-20,Officeworks,Daily Expenses,-4.0,NO,cokes
2015-01-21,Coles,Daily Expenses,-10.35,NO,"Doritos, rice, bacon and drumsticks"
2015-01-21,Woolworths,Daily Expenses,-3.05,NO,Bananas and grapes
2015-01-22,Coles,Daily Expenses,-9.0,NO,Cheese
2015-01-23,IGA,Alcohol,-66.63,NO,"Salt, cider and beers"
2015-01-23,Coles,Daily Expenses,-10.36,NO,"milk, coke and doritos"
2015-01-24,Northland Shopping Center,Daily Expenses,-5.5,NO,Chicken wings
2015-01-24,Coles,Daily Expenses,-20.49,NO,"Yogurt, bread, cereal, cheese and peanuts"
2015-01-27,Coles,Daily Expenses,-3.5,NO,Ice cream
2015-01-27,Others,Pleasure,-40.0,NO,"Dinner, pictures and surfing !!!!"
2015-01-28,Coles,Daily Expenses,-5.0,NO,Tuna x 2 and wraps
2015-01-29,Coles,Daily Expenses,-11.34,NO,"Philadelphia chocolate, cereal, eggs and spaghetti"
2015-01-30,MyKi,Transport,-10.0,NO,"Myki gatito, meeting with ali and chruch"
2015-01-31,Guzman y Gomez,Pleasure,-15.0,NO,Lunch with Ali
2015-02-01,Coles,Daily Expenses,-15.42,NO,"Mince meat, chicken kiev, yogourt and cheese"
2015-02-01,Church,Daily Expenses,-7.0,NO,Canddles
2015-02-02,,Interest,69.0,,Interests January
2015-02-02,Woolworths,Daily Expenses,-17.0,NO,Rice and cheese
2015-02-02,Coles,Daily Expenses,-4.0,NO,Leek and garlic
2015-02-03,Dingnan Gift Home,Home,-7.5,NO,hangers and sponges
2015-02-03,Coles,Daily Expenses,-2.7,NO,Ketchup
2015-02-04,Click Energy,Utilities,-55.47,YES,Electricity January - February
2015-02-04,Coles,Daily Expenses,-23.37,NO,"Kleenex x3, hand wash soap, tooth paste, dish soap, pringles and cereal"
2015-02-05,MyKi,Transport,-3.0,NO,Myki gatito to meet with guys
2015-02-05,Grilld,Pleasure,-20.9,NO,Super hamburger with fries and pepsi
2015-02-05,Victoria Market,Daily Expenses,-19.0,NO,"Tomatoes, banana, coriander, leek, chilli, avocados and lemon"
2015-02-05,Dan Murphy's,Alcohol,-7.0,NO,Wine for janek
2015-02-05,Love Real Estate,Rent,-1477.0,YES,Rent February - March
2015-02-06,Origin,Utilities,-48.33,YES,Gas December - February
2015-02-06,Woolworths,Daily Expenses,-9.9,NO,"Cheese, cereal and packets"
2015-02-06,Coles,Daily Expenses,-15.36,NO,"Cereal, wraps, sparkling water and laidies things"
2015-02-07,MyKi,Transport,-2.0,NO,janek party
2015-02-07,Coles,Daily Expenses,-2.16,NO,Packets
2015-02-08,Coles,Daily Expenses,-12.3,NO,"Enchiladas, tomatoes, eggs, carrots and yogurt"
2015-02-08,TPG,Utilities,-60.0,YES,Internet - February March
2015-02-09,Coles,Daily Expenses,-15.79,NO,"Milk, vegetables, chicken breast, waterand cheese"
2015-02-10,Lebara,Utilities,-51.0,YES,Mobile Nastya and Juan
2015-02-10,eBay,Gift,-54.0,YES,Wallet gatito valentines
2015-02-10,Woolworths,Daily Expenses,-7.24,NO,Shrimps and chicken
2015-02-10,Coles,Daily Expenses,-4.68,NO,Cereal
2015-02-11,Coles,Daily Expenses,-15.33,NO,"Mince meat, pringles, pasta, sour cream"
2015-02-12,MyKi,Transport,-276.0,YES,Myki Juan and Ana
2015-02-12,Coles,Daily Expenses,-16.23,NO,"Cheese, chicken, pringles and more cheese"
2015-02-13,Woolworths,Daily Expenses,-21.45,NO,"Saint valentines chocolates, flowers and shrimps"
2015-02-13,Church,Daily Expenses,-30.0,YES,Church thanks
2015-02-13,Coles,Alcohol,-13.0,NO,Pringles and wine
2015-02-14,Aldi,Daily Expenses,-16.0,NO,"Tuna, corn, gnocchi, plastic cuttlery, wraps and thicken cream"
2015-02-14,Northland Shopping Center,Daily Expenses,-13.0,NO,Vegtables and chicken
2015-02-14,Coles,Daily Expenses,-3.0,NO,Chips and crackers
2015-02-14,,Salary,3896.0,,Salary Ana
2015-02-15,Myer,Clothing,-13.0,NO,Sleeve Garter
2015-02-16,Bar,Daily Expenses,-45.0,NO,"Beer, fish and chips GATITO IS WOKRING!!!!"
2015-02-16,Coles,Daily Expenses,-2.5,NO,Cereal
2015-02-19,Others,Daily Expenses,-5.0,NO,Subway lunch
2015-02-19,Coles,Daily Expenses,-14.5,NO,"Grapes, milk, cheese and yogurt"
2015-02-19,Coles,Daily Expenses,-10.49,NO,Food for concert
2015-02-20,Woolworths,Daily Expenses,-6.25,NO,"Water, Juice and Pringles"
2015-02-21,Woolworths,Daily Expenses,-8.74,NO,Food for concert
2015-02-21,Fridays,Pleasure,-30.0,NO,Lunch for Fridays
2015-02-22,Dingnan Gift Home,Home,-2.0,NO,Outlet for airplane
2015-02-22,Coles,Daily Expenses,-3.0,NO,Leek and lettuce
2015-02-22,Victoria Market,Daily Expenses,-16.0,NO,"Meat, potatoe, apples, corieander and cucumbers"
2015-02-22,Church,Daily Expenses,-6.5,NO,Church
2015-02-23,Coles,Daily Expenses,-5.2,NO,"Doritos, peanuts and tea"
2015-02-23,MSO,Pleasure,-40.0,YES,tCHAIKOVSKIY CONCERT TICKETS
2015-02-24,Others,Pleasure,-20.0,NO,Volleyball
2015-02-24,Woolworths,Daily Expenses,-3.4,NO,Grapes
2015-02-25,Woolworths,Daily Expenses,-12.83,NO,Plastic tuppers
2015-02-26,Coles,Daily Expenses,-18.8,NO,"Toffu, pringles, banana chips, coffee, pasta and tea"
2015-02-27,,Salary,1788.0,,Salary Juan
2015-02-28,Coles,Daily Expenses,-5.2,NO,penuts for concert
2015-02-28,Guzman y Gomez,Pleasure,-27.0,NO,dinner before concert
2015-02-28,Guzman y Gomez,Daily Expenses,-3.0,NO,beverage for raccoon
2015-03-01,,Interest,60.24,,Interests february
2015-03-01,Coles,Daily Expenses,-8.08,NO,"bread, salty cucmbers"
2015-03-01,Victoria Market,Daily Expenses,-17.7,NO,"veges, fruits, buckwheat, couscous"
2015-03-02,Woolworths,Daily Expenses,-12.94,NO,"onions,figs,heinz frozen veges, bam bleach"
2015-03-03,Others,Pleasure,-20.0,NO,Avanade - volleyball
2015-03-04,Aldi,Daily Expenses,-20.75,NO,"dried fruits, nuts, mushrooms, girl´s stuff"
2015-03-05,Woolworths,Daily Expenses,-6.5,NO,"cereal, corn thins"
2015-03-05,Love Real Estate,Rent,-1477.0,YES,Rent March - April
2015-03-06,Woolworths,Daily Expenses,-1.0,NO,corn thins
2015-03-06,Coles,Daily Expenses,-4.1,NO,"indian snack, rye crisps, cookies"
2015-03-06,IGA,Daily Expenses,-3.66,NO,olive spread
2015-03-06,Click Energy,Home,-59.4,YES,Electricity February-March
2015-03-08,Church,Daily Expenses,-7.0,NO,Candles
2015-03-08,Coles,Daily Expenses,-2.66,NO,"mineral water, grapes"
2015-03-09,Woolworths,Daily Expenses,-5.12,NO,"nail polish removal, soy sauce"
2015-03-09,Aldi,Daily Expenses,-9.02,NO,"honey, wallnuts"
2015-03-09,Coles,Daily Expenses,-8.65,NO,"rice vermichelli, basa fish, sunflower oil"
2015-03-09,TPG,Utilities,-60.0,YES,Internet March - April
2015-03-10,Woolworths,Daily Expenses,-6.4,NO,"doritos, tofu"
2015-03-13,Coles,Daily Expenses,-15.0,NO,"soap,dove,tooth paste,nuts"
2015-03-13,Woolworths,Daily Expenses,-4.35,NO,tofu
2015-03-15,Coles,Daily Expenses,-12.42,NO,Food for gatito's arrival
2015-03-15,ALDI,Daily Expenses,-18.34,NO,Green stuff for raccooncito
2015-03-15,Others,Gift,-49.0,YES,Dutty free alcohol
2015-03-15,MyKi,Transport,-304.92,YES,Transport Mar - Apr
2015-03-15,Lebara,Utilities,-59.8,YES,Mobiles mar-apr
2015-03-15,Others,Pleasure,-127.94,YES,Toy to code
2015-03-16,Others,Gift,-453.0,YES,Gift Raccooncito - Bday dutty free
2015-03-16,GU Health,Health,-265.08,YES,GU Health first month weird
2015-03-16,,Salary,3896.0,,Salary Ana
2015-03-16,,Salary,3867.33,,Salary Juan
2015-03-16,,Others,17.98,,Visa US
2015-03-16,Coles,Daily Expenses,-17.0,NO,Real food for gatito's arrival
2015-03-18,Woolworths,Daily Expenses,-24.43,NO,Batteries and food
2015-03-19,Coles,Daily Expenses,-12.74,NO,"Pringles, peanuts and prawns"
2015-03-21,Others,Alcohol,-20.0,NO,Friday´s beer
2015-03-21,Grilld,Pleasure,-20.9,NO,Friday´s lunch
2015-03-21,Universal Restaurant,Pleasure,-21.9,NO,Dinner Gatito
2015-03-21,DFO,Gift,-159.0,YES,Hand bag for work
2015-03-21,ALDI,Daily Expenses,-9.6,NO,Corn and plumbs
2015-03-21,Coles,Daily Expenses,-2.0,NO,Pringles
2015-03-21,,Per Diem,757.0,,Per diem Seattle Juan
2015-03-22,Coles,Daily Expenses,-25.45,NO,"Beef, chicken, bread, rockmelon, potatoe, tofu and flour "
2015-03-23,Others,Daily Expenses,-16.0,NO,Lunch with Gavin - Schnitzel
2015-03-23,Yarra Valley Water,Utilities,-94.92,YES,Water from December 11 - March 17
2015-03-24,Woolworths,Daily Expenses,-7.33,NO,Peanuts and yogurt
2015-03-24,AMEX,Utilities,-29.95,YES,AMEX Ana
2015-03-24,AMEX,Utilities,-524.54,YES,AMEX Juan
2015-03-25,Church,Daily Expenses,-3.0,NO,Canddles 
2015-03-25,Coles,Daily Expenses,-35.47,NO,Electrical tooth brush and prawns 
2015-03-26,Coles,Daily Expenses,-8.6,NO,"Meat, container and tomato sauce"
2015-03-27,Woolworths,Daily Expenses,-10.0,NO,Peanuts and ringles
2015-03-27,Others,Clothing,-36.0,YES,Fixed pants
2015-03-28,Others,Daily Expenses,-3.5,NO,Coke hangover
2015-03-28,Woolworths,Daily Expenses,-7.0,NO,Colander
2015-03-28,Victoria Market,Daily Expenses,-3.5,NO,Vegetables
2015-03-29,Coles,Daily Expenses,-7.89,NO,Chicken and honey
2015-03-29,Church,Daily Expenses,-6.0,NO,Church gatito arrived late
2015-03-29,My Chemist,Health,-13.0,NO,Pills
2015-03-30,Coles,Daily Expenses,-28.15,NO,"Pizza wraps, wraps, cheese, gyozas, grapes, mushrooms and bbq sause"
2015-03-31,Grilld,Daily Expenses,-5.5,NO,Friesssss
2015-03-31,Woolworths,Daily Expenses,-11.14,NO,"water, tofu, bathroom thing and bread"
2015-04-01,ALDI,Daily Expenses,-11.4,NO,"Corn, garlic salt, banana chips, oats and things"
2015-04-01,,Interest,72.2,,Interests March
2015-04-02,Coles,Daily Expenses,-5.48,NO,Doritos and things of nastya
2015-04-02,Others,Daily Expenses,-5.0,NO,Subway sandwich
2015-04-02,Others,Alcohol,-10.0,NO,Equinox beer
2015-04-03,IGA,Daily Expenses,-27.5,NO,BBQ in mount macedon
2015-04-03,Others,Daily Expenses,-5.4,NO,Donut and gatorade
2015-04-04,Preston Market,Daily Expenses,-20.0,NO,"Fish, eggs, vegetables and fruits"
2015-04-04,Coles,Daily Expenses,-6.78,NO,"Sausages, melon and mushrooms"
2015-04-05,Church,Daily Expenses,-8.0,NO,Church
2015-04-05,Click Energy,Utilities,-60.0,YES,Electricity for March
2015-04-05,Coles,Daily Expenses,-7.5,NO,"Fries, salt and IKEA hotdog"
2015-04-05,IKEA,Home,-9.96,YES,"Cloths, candles and cups"
2015-04-06,Others,Pleasure,-63.25,NO,Lunch with Anita
2015-04-07,Avanade,Avanade,-167.37,YES,"Taxi x2, lunch, beer, chicken and butter"
2015-04-08,Coles,Daily Expenses,-5.01,NO,"Milk, ricotta"
2015-04-08,Love Real Estate,Rent,-1477.0,YES,Rent April-May
2015-04-10,TPG,Utilities,-60.0,YES,April - May
2015-04-10,Origin,Utilities,-54.91,YES,Gas - 5 Feb to 8 Apr
2015-04-11,,Per Diem,45.67,,Seattle -> home - airport taxi
2015-04-11,Coles,Daily Expenses,-11.22,NO,"Fish, grapes and fries"
2015-04-11,Dingnan Gift Home,Daily Expenses,-2.0,NO,Gauze
2015-04-11,Coles,Daily Expenses,-1.56,NO,Sour cream for gatito
2015-04-11,IGA,Daily Expenses,-3.0,NO,Eggs
2015-04-11,Dan Murphy's,Alcohol,-22.0,NO,Wine
2015-04-11,eBay,Gift,-17.0,YES,Case iPad
2015-04-11,Avanade,Avanade,-173.27,YES,Week 7-10 Apr in Brisbane (no tuesday)
2015-04-11,Avanset,Home,-13.0,YES,Avanset training exams
2015-04-11,Lebara,Utilities,-10.0,YES,Extra internet Gatito
2015-04-11,Church,Daily Expenses,-7.0,NO,Pascua
2015-04-11,Others,Home,-37.14,YES,Car rent pascua
2015-04-12,Car,Transport,-8.7,NO,Gasoline Church
2015-04-14,Woolworths,Daily Expenses,-5.01,NO,cheese
2015-04-15,Coles,Daily Expenses,-14.54,NO,"grapes, yoghurt, cheese"
2015-04-16,Dan Murphy's,Daily Expenses,-14.9,NO,beer
2015-04-17,GU Health,Health,-173.6,YES,Private insurance April - May
2015-04-17,,Salary,3896.0,,Salary Ana
2015-04-17,,Salary,3867.0,,Salary Juan
2015-04-17,Coles,Daily Expenses,-8.94,NO,"meat,chips"
2015-04-17,ALDI,Daily Expenses,-15.0,NO,beer
2015-04-18,Car,Transport,-14203.54,YES,Australian Monstrico car
2015-04-18,Car,Transport,-44.75,YES,Gasoline complete
2015-04-18,Car,Transport,-21.0,YES,Taxi to buy the car
2015-04-18,IGA,Alcohol,-12.0,NO,Wine 
2015-04-19,Church,Daily Expenses,-7.0,NO,Church for car
2015-04-20,VicRoads,Transport,-43.9,YES,registration appointment fee
2015-04-20,Coles,Daily Expenses,-7.5,NO,"grapes, chicken, deodorant, frozen veges"
2015-04-21,Coles,Daily Expenses,-6.8,NO,"sausages, yoghurt"
2015-04-21,Coles,Daily Expenses,-1.0,NO,sugar
2015-04-23,Coles,Daily Expenses,-11.8,NO,"chicken herbs, chips"
2015-04-24,MyKi,Daily Expenses,-10.0,NO,Myki Ana
2015-04-24,Coles,Daily Expenses,-8.34,NO,Chips and cheese
2015-04-25,Coles,Daily Expenses,-6.92,NO,"Fries, grapes and milk"
2015-04-25,Dan Murphy's,Alcohol,-37.0,YES,Rusky Standard
2015-04-25,Woolworths,Daily Expenses,-23.95,NO,"Toothpaste, shampoo, banana, packets and biscuit"
2015-04-26,Officeworks,Transport,-0.6,NO,Paper copies
2015-04-26,Master Home Improvement,Transport,-6.9,NO,Anti-theft number plate screws
2015-04-26,eBay,Transport,-9.0,NO,USB Charger
2015-04-27,VicRoads,Transport,-1329.3,YES,Registration
2015-04-27,Coles,Daily Expenses,-37.0,NO,Anniversary gatitos
2015-04-28,MyKi,Daily Expenses,-10.0,NO,myki
2015-05-01,Coles,Daily Expenses,-6.4,NO,"eggs, tortillas"
2015-05-01,IGA,Daily Expenses,-16.13,NO,"cheeese,chicken,doritos"
2015-05-01,IGA,Alcohol,-14.0,NO,beer
2015-05-03,Coles,Daily Expenses,-11.1,NO,"Cheese, milk, bread and yogurt"
2015-05-03,My Chemist,Health,-8.0,NO,Condoms
2015-05-03,,Interest,3.73,,Interests April 
2015-05-03,MyKi,Transport,-20.0,NO,Myki for Friday's dinner
2015-05-03,Fridays,Pleasure,-25.0,NO,Dinner in Friday's
2015-05-04,MyKi,Daily Expenses,-10.0,NO,myki
2015-05-04,Coles,Daily Expenses,-11.03,NO,"deodorants, tooth paste, mineral water, corn crisps"
2015-05-05,Coles,Daily Expenses,-2.69,NO,"bolognese sause, leek"
2015-05-06,Love Real Estate,Rent,-1477.0,YES,Rent May-June
2015-05-06,Coles,Daily Expenses,-15.0,NO,coffee
2015-05-07,MyKi,Transport,-129.36,YES,myki pass May-June
2015-05-07,Woolworths,Daily Expenses,-8.78,NO,"grapes, cereal, nachos"
2015-05-07,Click Energy,Utilities,-71.75,YES,Electricity April-May
2015-05-09,TPG,Utilities,-60.0,YES,Internet May June
2015-05-09,Northland Shopping Center,Gift,-41.0,YES,Gift for Ali and Anastasiya
2015-05-09,Others,Pleasure,-40.0,NO,Lunch birthday Ali
2015-05-09,Domino's Pizza,Daily Expenses,-7.0,NO,Pizza gatito
2015-05-09,Coles,Daily Expenses,-1.0,NO,Flour
2015-05-09,MyKi,Transport,-2.0,NO,For Ali's birthday
2015-05-10,Church,Daily Expenses,-22.0,NO,Church book
2015-05-10,Coles,Daily Expenses,-9.4,NO,"Butter, chips and yogurt"
2015-05-11,Coles,Daily Expenses,-8.4,NO,"fish,corn,chocolate"
2015-05-11,Woolworths,Daily Expenses,-14.55,NO,"oats,cheese,crispbread,ambi pur"
2015-05-13,Woolworths,Daily Expenses,-2.45,NO,grapes
2015-05-14,Coles,Daily Expenses,-11.65,NO,"Cereal, chicken, sponges and tea"
2015-05-14,,Salary,3867.33,,Salary Juan
2015-05-14,GU Health,Health,-173.6,YES,Prepaid medicine May - June
2015-05-14,,Salary,3896.0,,Salary Ana
2015-05-17,Others,Pleasure,-20.0,NO,Pizza raccooncito
2015-05-17,Woolworths,Pleasure,-19.98,NO,Snacks party
